"","label"
"1",0.00558629725128412
"2",0.00453153252601624
"3",0.00548264058306813
"4",0.00365247623994946
"5",0.00488657876849174
"6",0.0057104891166091
"7",0.0144790234044194
"8",0.0124611966311932
"9",0.017061622813344
"10",0.024327740073204
"11",0.0541272647678852
"12",0.0477185659110546
"13",0.0221281833946705
"14",0.0218205004930496
"15",0.304272383451462
"16",0.663511753082275
"17",0.671256840229034
"18",0.839441537857056
"19",0.62408059835434
"20",0.785533547401428
"21",0.867807447910309
"22",0.600885927677155
"23",0.00770362932235003
"24",0.00658804876729846
"25",0.00907214637845755
"26",0.00668705208227038
"27",0.00653342483565211
"28",0.0169431082904339
"29",0.0214855037629604
"30",0.0305063333362341
"31",0.0124758100137115
"32",0.0280830450356007
"33",0.0135291572660208
"34",0.0165306888520718
"35",0.0137320421636105
"36",0.0516754612326622
"37",0.0740646794438362
"38",0.0273810550570488
"39",0.0212689861655235
"40",0.0960254445672035
"41",0.0735764428973198
"42",0.117833323776722
"43",0.0345284827053547
"44",0.0134411919862032
"45",0.011592973023653
"46",0.0506436452269554
"47",0.0085350489243865
"48",0.0186913423240185
"49",0.00975990574806929
"50",0.0114215202629566
"51",0.00935376062989235
"52",0.00916624814271927
"53",0.0153918471187353
"54",0.0276503395289183
"55",0.0220220703631639
"56",0.0219081901013851
"57",0.0305183585733175
"58",0.0143555738031864
"59",0.0311657078564167
"60",0.0640067011117935
"61",0.0287893135100603
"62",0.0444583669304848
"63",0.0367077142000198
"64",0.0606061592698097
"65",0.0315173082053661
"66",0.0108946682885289
"67",0.0150477448478341
"68",0.017784221097827
"69",0.0221191514283419
"70",0.0339186266064644
"71",0.0634074360132217
"72",0.0699887424707413
"73",0.0569298006594181
"74",0.013143926858902
"75",0.0213188976049423
"76",0.012323210015893
"77",0.0406250730156898
"78",0.105637714266777
"79",0.0221379157155752
"80",0.0584605224430561
"81",0.0218162145465612
"82",0.0424263626337051
"83",0.104750700294971
"84",0.0176014453172684
"85",0.0285005178302526
"86",0.0302403010427952
"87",0.0237441956996918
"88",0.0400788448750973
"89",0.0736420452594757
"90",0.0332946330308914
"91",0.0946299731731415
"92",0.058688510209322
"93",0.047996249049902
"94",0.0237156674265862
"95",0.0517033077776432
"96",0.0251192599534988
"97",0.0171659011393785
"98",0.016630170866847
"99",0.0363181009888649
"100",0.0338763557374477
"101",0.0294310618191957
"102",0.0394552946090698
"103",0.0584989115595818
"104",0.0302942544221878
"105",0.0564591884613037
